model,category,prompt,trial,input_tokens,output_tokens,deltas_emitted,ttft_s,elapsed_s,tokens_per_sec,eval_ms_per_token,decode_ms_per_token,decode_p50_ms,decode_p95_ms,cost_usd,cost_per_million_tokens
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",3,42,205,204,0.6030099391937256,9.378679990768433,23.640747949254113,42.29984610243903,43.003970179064524,42.89579391479492,44.26908493041992,0.0023217915527338757,9.399965800542006
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",1,46,230,229,0.5893702507019043,10.42166805267334,23.691972460786197,42.20838943043478,42.924350813815465,42.601823806762695,46.59605026245117,0.0025887812184,9.379642095652173
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",0,46,256,256,0.6737360954284668,11.73736023902893,23.39782196023859,42.739020824218755,43.3749610302495,42.294979095458984,48.94375801086426,0.0028682631753142365,9.497560183159724
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",4,42,159,158,0.5561690330505371,7.307830095291138,23.77593898194699,42.05932732075471,42.72049855274759,41.6722297668457,48.387765884399414,0.0018786499536603773,9.346517182389936
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",2,46,256,256,0.6265122890472412,11.586435079574585,23.63610736052662,42.30815103125,42.97047783346737,41.929006576538086,49.42202568054199,0.0028393470247638887,9.401811340277778
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",3,72,256,256,1.4695169925689697,12.362169981002808,23.708015686864215,42.17982699218751,42.70660362991632,41.600942611694336,47.67203330993652,0.0030744407229861114,9.37329488715278
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",2,42,256,256,0.5296568870544434,11.154098749160767,24.303557297678633,41.14623994140625,41.65624356737324,41.34082794189453,45.46976089477539,0.002724795445008681,9.143608875868056
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",3,42,256,256,0.12038207054138184,10.756752967834473,24.270152772454654,41.202872078125004,41.70298389360016,41.26405715942383,45.32885551452637,0.002728545750951389,9.15619379513889
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",4,46,234,233,0.6047499179840088,10.316694021224976,24.332429750079672,41.097416504273504,41.66006528098008,41.24903678894043,45.92418670654297,0.0025571725824881293,9.13275922317189
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",2,46,256,256,0.11924195289611816,10.761729001998901,24.275642615691364,41.19355420703125,41.72559999952129,41.16988182067871,45.86601257324219,0.002764545193449653,9.154123157118056
