model,is_reasoning,tier,trial,input_tokens,output_tokens,thinking_tokens,answer_tokens,ttft_s,thinking_s,answer_s,elapsed_s,tokens_per_sec,cost_usd,cost_per_million_tokens,prefill_cost_usd,thinking_cost_usd,answer_cost_usd,correct
deepseek-r1:7b,True,t5_very_hard,1,45,375,110,261,0.3495,2.6677,6.2792,9.2964,41.68,0.0022390960355555558,5.331181037037037,7.766047218400572e-05,0.0005928189073585801,0.001395386361103091,1
deepseek-r1:7b,True,t5_very_hard,2,45,375,110,261,0.2087,2.6651,6.2775,9.1513,41.71,0.002237915555555556,5.328370370370371,4.6383444426788224e-05,0.0005922446760038535,0.00139499927777797,1
deepseek-r1:7b,True,t2_easy,0,31,179,65,110,0.2771,1.5847,2.6422,4.5039,41.87,0.0011146145623836127,5.307688392302918,6.157226845001181e-05,0.0003521475555478699,0.000587154574226588,1
deepseek-r1:7b,True,t3_medium,2,32,207,86,117,0.2877,2.0897,2.8128,5.1902,41.8,0.0012704490799785293,5.315686527106817,6.394088889161746e-05,0.0004643706575863891,0.0006250678517648743,1
deepseek-r1:7b,True,t1_trivial,1,17,108,41,63,0.2829,1.0096,1.5103,2.8028,42.04,0.0006607399691358026,5.285919753086421,6.285999089272486e-05,0.00022435646286855142,0.0003356180926784873,1
deepseek-r1:7b,True,t2_easy,2,31,179,65,110,0.2921,1.5856,2.6419,4.5195,41.86,0.0011149164618249536,5.309126008690255,6.490261107683182e-05,0.00035235110178796785,0.0005870810370995767,1
deepseek-r1:7b,True,t4_hard,2,39,222,92,126,0.3651,2.237,3.0431,5.6452,41.66,0.0013923788288288286,5.334784784784784,8.112929642407431e-05,0.0004971082035659088,0.0006762426575749285,1
deepseek-r1:7b,True,t4_hard,1,39,222,92,126,0.1985,2.2405,3.0436,5.4826,41.63,0.0013932033693693695,5.3379439439439444,4.410083333237304e-05,0.0004978932131392261,0.0006763514535398119,1
deepseek-r1:7b,True,t4_hard,0,39,222,92,126,0.1914,2.222,3.0439,5.4572,41.77,0.0013884079189189192,5.319570570570571,4.252642579376698e-05,0.0004937818888574839,0.0006764127593487502,1
deepseek-r1:7b,True,t2_easy,1,31,179,65,110,0.274,1.5868,2.6448,4.5056,41.81,0.0011160406331471135,5.314479205462446,6.088963890862134e-05,0.00035262646288093593,0.000587730629524837,1
deepseek-r1:7b,True,t1_trivial,0,17,108,41,63,0.2758,1.0105,1.5135,2.7998,41.97,0.0006618161008230454,5.294528806584363,6.128753711365992e-05,0.00022454594443034796,0.0003363437591534522,1
deepseek-r1:7b,True,t5_very_hard,0,45,375,110,261,0.3595,2.6712,6.2845,9.3152,41.64,0.0022411996444444446,5.33618962962963,7.988545355490513e-05,0.0005935975371135606,0.001396562027796689,1
deepseek-r1:7b,True,t1_trivial,2,17,108,41,63,0.2853,1.0103,1.5139,2.8095,41.97,0.000661911779835391,5.295294238683128,6.339236110862758e-05,0.00022451210197889143,0.00033643173136644895,1
deepseek-r1:7b,True,t3_medium,0,32,207,86,117,0.2835,2.0909,2.8152,5.1896,41.77,0.001271400461621041,5.319667203435319,6.299925000510283e-05,0.00046464002779167564,0.0006256002962278823,1
deepseek-r1:7b,True,t3_medium,1,32,207,86,117,0.2008,2.0883,2.8139,5.103,41.81,0.0012702733258185724,5.314951154052603,4.4624481350183486e-05,0.00046406938891030024,0.0006253138333041635,1
qwen2.5:7b,False,t4_hard,2,65,3,0,2,0.3297,0.0,0.0483,0.378,61.62,0.00024523822222222223,3.6064444444444446,7.326401842551099e-05,0.0,1.0740379802882672e-05,1
qwen2.5:7b,False,t2_easy,1,57,3,0,2,0.3085,0.0,0.0485,0.357,61.22,0.00021780000000000004,3.6300000000000003,6.856196311612924e-05,0.0,1.078212954517868e-05,1
qwen2.5:7b,False,t5_very_hard,1,71,3,0,2,0.3062,0.0,0.0482,0.3544,61.63,0.0002668111111111112,3.605555555555556,6.803374090749356e-05,0.0,1.0718796195255386e-05,0
qwen2.5:7b,False,t3_medium,2,58,3,0,2,0.2987,0.0,0.0476,0.3463,62.18,0.00021799140740740743,3.5736296296296297,6.6381907556206e-05,0.0,1.0583861110111078e-05,1
qwen2.5:7b,False,t4_hard,0,65,3,0,2,0.1605,0.0,0.0477,0.2082,62.51,0.00024174755555555558,3.5551111111111116,3.565672221076158e-05,0.0,1.0606222216867738e-05,1
qwen2.5:7b,False,t3_medium,1,58,3,0,2,0.1515,0.0,0.0478,0.1994,62.15,0.00021812244444444447,3.575777777777778,3.367484241930975e-05,0.0,1.0630638907767005e-05,1
